context,response
"No, but she likes me. You abandoned her on a plane to Greece.","Okay, I did not abandon Rachel! Okay? Emily showed up at the airport! I had to go after her! I mean, I-I did what I had to do! She's my wife! Rachel is my wife! Y'know-Emily! Emily, is my wife! Man, what is that?"
"Look, which one of us is gonna be having sex in there, me or you?","Well, I suppose I'd have to say you!! But, what if we're watching a movie in here?"
Joey wins again and Chandler owes him $500,"Okay, give me a chance to win my money back. Okay? Sudden death, one goal, $1,000."
Did you eat all the neighbor candy?,"Uh well yeah, that was the plan, but by the time I got to it there was only a couple of pieces left!"
I've decided to start writing a novel.,"Oh, fantastic! Because the world was just missing a 500-page manuscript about your feelings."
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",Cookie?
"Why not?! I mean it's just, it's just climbing!","It's just, it's just steep!"
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 minutes you've known them is a solid foundation for a lifetime of love and not at all a desperate cry for help."
I'm so excited for my blind date tonight.,"Oh, yeah, because nothing says 'true love' like a stranger who's only seen your Facebook profile picture."
I don't know who made you the boss?,Please! I made this game what it is.
You went through my personal property?,Why do have a picture of Paulette in your pack?!
"Okay, okay-okay, ah, Chloe works with that guy Issac. Issac's sister is Jasmine. And Jasmine works at that message place with Phoebe. And Phoebe's friends with Rachel.","And that's the trail, I did it!"
"Question. You're not dating anybody, are you, because I met somebody who would be perfect for you.","Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'..."
I've decided to start writing a novel.,"Oh, great. Because the world was just missing a 500-page manuscript about your feelings."
I just got engaged to the love of my life.,"Oh, wow. I'm sure the 37 other girls you've said that to are just thrilled for you."
Could you not narrate?,Gotcha sailor.
Me going out with Richard's son.,Sounds like a really bad idea to me.
You are dogged man! I totally fit!,"Yeah, you got me. I'm out five big ones! Here you go."
My God! Is this a gym card?,"Oh yeah, gym member. I try to go four times a week, but I've missed the last 1200 times."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
"Hey, guys, what-what should I wear to a Knicks game?","Uhh, a T-shirt that says, ""I don't belong here."""
What are you supposed to be?,"Remember the Russian satellite, Sputnik? Well, I'm a potato or a...spud. And these are my antennae. So Sputnik, becomes... Spud-nik. Spudnik!"
I like waking up with you too.,"Oh! It's such a beautiful morning. Oh, I can stay here all day."
Ross Geller: Over my dead body!,And I'll be using his dead body as a shield.
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
"So ah, did you have fun at the bachelor party last night?","Oh yeah, yeah! Look what I got, look what I got. See, she's fully dressed, right?
Right.
And then you click it and, uh-oh, she's naked. And then, and then you click it again and she's dressed. She's a business woman, she's walking down the street, she's window shopping, and whoa-whoa-whoa, sh-she's naked!"
You've ruined it! You guys ruined everything! You ruined it!,"That's right, it's all ruined!"
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you can spend the rest of your life with someone who's contractually obligated to love you."
It's a set and they should probably stay together.,Then I'll just bring them both over.
"Oh, now? No, no, I think something this nice should be saved for a special occasion.",I so am.
What are you guys doing in here?,Because it's a relaxing and enjoyable time!
"This one time I had my knee up on the sink and your mother, she was.",Daddy?! I don't think we need to hear about the specific positions you and mom had sex.
What do you have against the beautiful guest room?,"I don't have anything against the beautiful guest room, especially since everybody we know lives about 30 seconds away!"
"What uh, what-what table are you at? Oh, uh me too",Oh good. Now there'll be someone there who likes my name
You already hit on me an hour ago.,This is great. Rachel's gonna keep kissing guys until she finds the one she wants and I'm gonna die alone.
"It's okay, the duck's using our bathroom anyway. Hey Joe! What are you getting Kathy for her birthday?","We've only been going out for a couple of weeks, do you think I gotta get her something?"
"Monica Geller: Shut up, the camera adds ten pounds.","Ahh, so how many cameras are actually on you?"
"You hire the first one! You don't hire an assistant because they're cute, you hire them because they're qualified.",Let me see this guy. W-H-Wow! Don't show this to Monica! And don't tell her about the W-H-Wow!
You're nothing but a big leaver. Big leaver with a stupid suitcase.,Any chance you are trying to pick a fight to make all this easier?
What do you know about lurkers?,"Okay when you're playing a machine and it hasn't paid out, a lurker waits for you to give up and then... they swoop in and steal your jackpot."
Why are you in here if Joshua is all the way over there?,"Uhh, because I'm trying to play hard to get. Oh, quick he's looking over here, say something funny."
You guys think that was okay?,That was one of the worse things ever. And not just on TV.
She's not gonna care if I put her stuff back in the same stupid place.,"Whoa, hello, did you just meet Monica?"
"You're going to miss me, right?",The only thing that I'm gonna miss...is you. And now the dog.
You should apologize to each other and mean it.,"By the way, that fight was totally arousing."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
What is that?,I think it's the dying cat parade.
"Please, don't take away my cool thing.",Please?! Pretty please?!
I had plans with Joey tonight and he left me this note.,"Hey, you can cancel plans with friends if there is the possibility for sex!"
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you... said no one who's seen your girlfriend's tattoo collection."
I just got engaged to the love of my life.,"Wow, congratulations! I'm sure the 37 other girls you've said that to are just thrilled."
This woman overheard that I was marrying you and she wished me good luck.,That's sweet.
We're never gonna get to introduce the hot girls to the new world!,"No, no, we will. We just won't tell her she messed up."
Do you realize this is probably the last time we'll all be here in the coffee house as six single people?,Yep! From now on its gonna be the four of you guys and me and the misses. The little woman. The wife. The old ball and chain.
I didn't know you read tea leaves.,"Oh yeah, I've done it for years. I actually stopped because I was so accurate. Y'know, and-and y'know, one of the great joys of life is it's-it's wondrous unpredictability. Y'know? And also tea tends to give me the trots."
"But either way... You're gonna get married, you're gonna be happy, my mom's gonna like you better than me.","Oh, god... She's told you that already, didn't she?!"
I just got engaged to the love of my life.,"Wow, congratulations! Could I BE any happier for you?"
"Halloween is so stupid! Dressing up, pretending to be someone you're not...",You're an actor!
What's wrong?,Uh-uh nothing. I-I-I-I didn't want you to touch me cause I'm -I'm all sweaty from the workout.
"Yeah, just some 9-year-old Filipino kids who worked their fingers bloody for 12 cents an hour.","That didn't happen, I made that up!"
Why is this car in my bedroom?,"Hey, I'm going for sushi does anybody want.. Whoa-whoa, somebody missed the off ramp."
I just got engaged to my girlfriend.,"Oh, great, so now you're officially contractually obligated to love her, could this be any more romantic?"
I've decided to start writing a novel.,"Oh, fantastic! Because the world was just missing a 500-page manuscript about your feelings."
Relax your hand!,Not so much!
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
"How can I dump this woman on Valentine's day?
I don't know. You dumped her on New Year's.","Oh, man. In my next life, I'm coming back as a toilet brush."
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 times you've used the phrase 'I'm never getting married' had nothing to do with her impressive collection of antique teapots."
"I want a big, fancy wedding.","You sure? Okay, so..."
I just got engaged to my girlfriend.,"Oh, wow! Because nothing says 'I love you' like a legally binding contract and a 50% chance of divorce."
Like finding money.,Like finding money with naked people on it!
I've decided to become a professional clown.,"Oh, finally, a career that combines your love of poverty and public humiliation."
No one got me an engagement present.,An old cookie?
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
"I'm sorry, it just-I don't know it doesn't really look like it can do anything.",It can do this.
I found the perfect ring.,"Oh, that's uh, that's pretty nice but I'm gonna go with the one I picked first."
"Alright, OK, alright. But if we put on spandex and my boobs are bigger than yours, I'm goin' home.","Your boobs are fine. Look, I never should have said anything. Come here. Come here. Oh, can't make.... hands... meet...."
"Joey, y'know you get any mustard on that bag, you can't return it.",Why would I return it? I love this bag!
"Ross Geller: Woah, woah, woah australopithicus isn't supposed to be in that display. No. No. No, n, homo-habilus was erect, australopithicus was never fully erect.",Well maybe he was nervous.
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you can spend the rest of your life with someone who's contractually obligated to tolerate you."
Go on.,"All right, all right, I'll go sleep with my girlfriend. But I'm just doing it for you guys."
"All right, how about the ladybugs?","Oh, so, forget about the birds, but big red insects suggest fine dining!"
Maybe you're not allergic to this dog?,"Well, it still has to go, right?"
We have thrown a very formal surprise party for you in there! All of your friends are in there and your parents!,Oh no! My parents have never seen me drunk! That they know of.
So you've been sittin' around here all mornin'?,"Yeah, and I-I gave first names to all of the foosball players."
Can I ask you something?,"Uhh, no."
Ross: How can she be great if she's from Poughkeepsie?,That joke would've killed in Albany.
"I'm never gonna find a roommate, ever.","Why, nobody good?"
"You're giving this lecture on erosion theories tomorrow night, I think you should come.",You're right! That did cheer me up!
Because she's your lobster.,"Oh, she's goin' somewhere."
I just got engaged to my girlfriend.,"Oh, wonderful! Now you can spend the rest of your life wondering where the love went and why the toilet seat's always up."
"Monica's gonna marry a millionaire!!!
Ross Geller: Hey, you gotta get Mom on the phone. Call Mom! Call Mom!",And that's Pete's Mom.
"The fridge broke, you have to eat everything?","Cold cuts, ice cream, limes-Hey, what was in that brown jar?"
I've decided to start writing a novel.,"Oh, fantastic! Because the world was just missing a 500-page memoir about your feelings on socks."
I don't want you on the trip!,"All right, fine! Fine! Why don't you pull over? I'll get out right now!"
I just got engaged to my soulmate.,"Oh, wow. That's amazing. I'm sure the fact that you've known them for 3 weeks has nothing to do with it."
"Okay, we have our stripper. A miss Crystal Chandelier.","Well sure, you name a kid that, what do you expect them to grow up to be?"
Monica spent a lot of money on new boots,I'm gonna miss being able to afford food.
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Did you find them in the 'soulmates-R-us' catalog?"
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
I just got engaged to my girlfriend.,"Oh, wow. Because what every relationship needs is a legally binding contract to make it interesting."
Joanna: Bing! That's a great name.,"Thanks, it's ah, Gaelic, for 'Thy turkey's done.' So ah, I'm gonna go, nice, nice meeting you."
I was only kidding you.,"Yeah, that was a real good one."
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any happier for you? Said no one, ever."
I don't believe you spent my wedding fund on the beach house!,Clearly I did not start drinking enough at the start of the meal.
"Maybe I could give thanks for you shuttin' up, eh?",Maybe I could give thanks by taking my Playstation over to my new apartment.
How are you taking it?,"Well uh, I wanted to have a few beers, but uh, I got rid of those because Rachel couldn't stand the smell of them. But I have thrown back a lot of orange juice with calcium though."
"Oh weird, Chandler just told us he's got a conference there!",I'm not in charge of where the conference is held. Do you want people to think it's a fake conference? It's a real conference.
I don't think so.,"Oh, I do. How you doin?"
"He coulda gotten me a VCR, he coulda gotten me a set of golf clubs, but no, he has to get me the woman repeller!",The eyesore from the Liberace house of crap!
She's shhing me! It's my phone and she's shhing me!,Shhh!!
Does it not freak you that you're never gonna sleep with anybody else?,"Sleeping with somebody new, anxiety, panic, and I'm afraid even more sweating."
"So, I'm, I'm probably still ovulating. Do you want to give it another try?","So you never had sex with a Kennedy, have you?"
"Okay, I'm gonna go to the bathroom. Will you watch my phone?","Hey, we haven't been on a second date, she needs to hear me pee?"
You can not ever see him again!,"That's so funny, because I think I just did!"
Are you Chandler?,Are you Joey?
I've decided to start a garden in my backyard.,"Oh, great, because what you really needed was a new way to watch things die."
"Trying to bribe the Maitre d' again, what's the strategy?",Mustached bastard...
I just got engaged to my girlfriend.,"Oh, great, so now you're officially off the market and onto the 'I'm stuck with this person forever' market."
Hi! I'm Dorf! You're date for the evening.,"Oh come on! Dorf on dating, that's good stuff!!"
"Well, there's a kiss that he won't forget for a couple of hours, y'know.","Yeah. Either that, or you just turned him on and sent him off to a stripper."
"Man, I would be great in a war! I mean, I really, I think I would make a fantastic military leader. I mean I know I would make General way before any of you guys.",Before or after you were shot by your own troops?
"Oh, they're just gonna umm, look to see if my endometria layer is thick.","Oh, I can uh, check that for ya."
"Yeah, I do. Of course, I learned at my aunt's dog grooming shop, but hey, what do you say?","Dog grooming huh? Okay, just don't make my tail too poofy."
I've decided to become a professional snail trainer.,"Oh, right, because the world was just missing a guy who can make a living saying, ""Come on, little guy, you can ooze faster than that!"""
You're the sole wage earner.,"You are! Hey, here's twenty bucks."
"If I can get in a Broadway show then I would've done it all, film, television, and theater. The only think left would be radio, and that's just for ugly people.",What size shoes do you wear?
"She's made it pretty clear, it is not going to happen.",That's great!
"Ok, so it's just because it was my table, I have to buy a new one?",That's the rule.
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
You forbid me?,"You know, I flew a long way t see my loving wife? Is she here by the way?"
And you're afraid you won't be able to...fill his shoes.,"No, I'm afraid I won't be able to make love as well as him."
"She doesn't know she was fired yet, does she?","No, the doctors say it may kill her."
You think we can resist the porn?,You wanna see if we still have it?
"Oh, plus it's just, it's so different from the stuff you usually hear.","You mean like, music?"
"You saved them! You guys! Oh God, you're the best!",It's like 'Night of the Living Dead Christmas Trees.'
"Okay look, Chandler, if this you have got to listen! You're gonna throw that juice at me, aren't ya?",It's not all juice!
Chandler's a girl!,"Oh God, kindergarten flashback."
I'm going to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
You should have one of us do it!,Guys thank you very much but neither of you is marrying us.
"I hate to be the one to say it, but honey you two are on your own.",Well... That's...y'know-That's-We've been alone for the last twenty minutes we're doing okay.
"I was a regular on a soap opera y'know? And to go from that to this, I just... Plus, I'd have to wait on all my friends.","What?! Okay, but the money's good, plus you get to stare at Rachel as much as you want."
"If you ever hurt my little sister, if you ever cause her any unhappiness of any kind, I will hunt you down, and kick your ass!","Hey, I hear what your saying, okay? And, thanks for the warning."
You are a lot hotter than I am.,True story!
"No, not the used wax.",Because that would be crazy?
Ross's flirting attempts are not going well.,Oh the humanity.
You're not getting away this time mister! Unless you want that ass kicking we talked about!,That's right! I'm not!
It's nothing.,"Hey, hey, it's me. Why can't you tell me?"
I just got 43 points for 'KIDNEY'.,"No, no, you got zero points for 'IDNEY'."
"Yeah, she, she brought the invisible cab. . .",hop in.
Who do you think would win in a fight between Ross and Chandler?,There's no question.
"Phoebe takes a bite and spits it out and screams.
Okay, I'm not gonna have one.",All right I'll have one.
I just got engaged to my girlfriend.,"Oh, great, so now you're officially stuck with someone who's been pretending to like you for years."
"Look, which one of us is gonna be having sex in there, me or you?","Well, I suppose I'd have to say you!! But, what if we're watching a movie in here?"
You didn't need to come down because the director saw your tape from yesterday and loved it.,And scene! Huh? Wasn't that fun? We did a little improv there.
I just got engaged to my girlfriend.,"Oh, great. Because nothing says 'I love you' like a ring that's 2 months' rent and a lifelong commitment to listening to her snore."
"I don't get it neither, I mean you're obviously desperate, you're asking women how they want to be killed.",By drowning or...?!
I didn't take a pregnancy test.,Then...who did?
If it wasn't for a bride's maid you'd be marrying him not me!,I don't believe it. The most romantic night of my life and I'm runner up.
"No, but I hear lyme disease is open, so...","Good luck, man. I hope you get it."
"They had to reduce it because of, of my deviated septum.","OK, I was wrong, that's what they used to cover Connecticut."
It's her first day at this new job. Your not supposed to start with her!,"All right, I suppose I can wait a day. Hey, what are you doing Friday?"
It's better! You can't go to a museum in your underwear!,"Well, You could, but... probably just the one time."
What's the plan after this?,"Well, you're not gonna believe this, but if you have seven minutes..."
"Joseph and his wife, Karen, are thinking of having a third kid... Ya know what? Just did.",Really? Wow. That's some pretty powerful imaginary sperm you must have there.
"Ah, what good are you.",Colorado.
Hi! Do we have a baby name yet?,"Well, it certainly worked for that Valdez kid."
Let's just do it right now. Okay? It won't be hard. Just say what's in your heart.,"Look at her go! She must love me more than I love her! What's wrong with me? Ooh, don't open that door."
"I'm giving this lecture on erosion theories tomorrow night, I think you should come.",You're right! That did cheer me up!
"Just one uh, one additional relationship thought. Probably something your already familiar with, uh, women talk!",You're flingin'-flangin' right I am!
What did you take a picture of?,Nothing! It was something.
Is the movie putting us up in a big hotel suite?,"Uh no, not really. It's an independent film y'know? So we don't have a real big budget. I figured I'd just stay in your room."
That's not pretty!,Worst porn ever! Worst porn ever!
Chandler was hitting on the hot delivery girl!,"I was not and oh God, shh!"
What was your first favorite game?,"Well, you just-you put a quarter in and y'know pull-pull some handles and win like a candy bar or something."
I am an excellent driver!,You're fast and irresponsible. That adds up to a bad driver.
Ross Geller: I'm sorry. It's just that this is the worse Thanksgiving ever.,No-no-no! I am the king of bad Thanksgivings. You can't just swoop in here with your bad marriage and take that away from me.
This place is so much better than London!,Oh my God.
"Rachel, his music could not get any worse. There are rats in the basement that are hanging themselves.",Electrifying. Emphatic time-time-time...
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any happier for you?"
"You know, do you know we're doing right now? You and I, we're interfacing.",Ba dum bumb cheshhh!
I'm never gonna get married!,Maybe I should just forget about it. Become a lesbian or something.
You brought Chandler?! The next best thing would be Monica!,"Y'know, I would be offended, but Monica is freakishly strong, so..."
How come it says Property of Human Services on his butt?,"You, you are gonna love this."
"Oh, can we read them?","Yeah, I don't hear Chandler's and he doesn't hear mine."
We've been getting reports of some very angry behavior on your part.,"Which I may say, right now, is out of control."
I like it in the stern.,...of the boat. Hello.
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom of lifelong compromise and dishwasher arguments?"
What? Rachel's pregnant? Who's the father?,Ohh... I wonder if that dude.
Joey kicks the table and breaks it after losing,"See? Now, that's why only the little fake men are supposed to do all the kicking."
The water's tepid. The salt didn't dissolve and is now... lodged places. And the scents I used don't compliment each other. Eucalyptus and chamomile-Oh!,The bath salts! They're starting to effervesce! It's different. It's interesting.
There's still so much to do. Have you written your vows yet?,"I figured I'd buy those. Pat, I'd like to buy a vow."
We didn't get married when we were that drunk!,They let you get married when you're drunk! Most people who get married in Vegas are drunk!
Is this; is this turning you on?,Yes!
Is everything okay?,"Oh yes! Just had me a little nubbin-ectomy. Yep! Two nipples, no waiting."
It doesn't matter. I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS.,... the WENUS?
"Y'know, you're friend's getting married, it's gotta change things.",I don't want them to move to a Volvo dealership!
Do you think you'll ever work again?,What are you doing? You know I can only dish it out!
"We may not have any weapons, but we still have food. In the basement I saw potatoes and some dry pasta, and a few tins of tuna!",Uh...Cookie?
I see. I guess you never really know whats goin on inside a persons head.,"Well, I guess thats why they call it psychology, sir."
"Monica put me in charge of cups and ice, and Monica is gonna rue the day that she put me in charge of cups and ice.",Y'know I rued the day once...didn't get a whole lot else done.
"I had to get out of the apartment, Janine is like stretching all over the place, y'know, everywhere I look she's like",I can see why that's hard to resist
"Jade: Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.","Well, that makes me feel so good."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 Tinder matches you had this morning are just thrilled for you."
"You hide my clothes, I'm wearing everything you own.",Oh my God!
"What's the part, Anti-man?",U-N-I-sexy?
You must be good in bed!,My God!
You're dead inside!!,"Hey, I had a terrible childhood and I don't do porn."
"Could you just lay off, please? All right? My life is an embarrassment!",I should go live under somebody's stairs!
"I want you to like her! But if that's too damned difficult for you, then the least you can do is pretend.",I am pretending.
When I proposed to him with the ring I got goose bumps.,Maybe it was the guy.
"My God, you're choking! That better?",Yes... thank you. That was... that was....
From the tequila factory?,"It was awful. To get out of going to dinner with Doug I told him that you and I split up. So then he took me to all these strip clubs and sleazy bars, and then when I wouldn't give him my wedding ring, he threw a soda can at a bird!"
"Oh, um, that was my bathing suit from high school. I was uh, a little bigger then.","Oh, I thought that's what they used to cover Connecticut when it rained."
"Rachel Green: I don't know, I mean I would give anything to work for a designer, y'know, or a buyer.... Oh, I just don't want to be 30 and still work here.","Yeah, that'd be much worse than being 28, and still working here."
"You're gonna sneeze on my fish, aren't you?","Whoa, whoa, prom night flashback."
You don't have to say that.,"No, I really wanna live with you! I wanna move in with you!"
Would-would it make you feel better if we all stop talking about Ross and Rachel.,"Yes, you can pass for 19."
"I was unable to-I mean I really wanted too, but I couldn't.... There huh-hmm, there-there was an incident.",It's happened to you?
"Jay Leno: Y'know, don't take this wrong, I-I just don't see you a-as a mom, somehow.. I don't mean that, I don't mean that bad...",This is the way that I find out. Most moms use the phone.
I was kidding.,So was I.
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient that they also have health insurance and a 401k."
But it's dark out.,"Well that's because you always sleep to noon, silly! This is what 9 looks like."
"The only reason you're doing this to Joey is because you're bored. Okay, it's not his fault that you're unemployed.",I am not unemployed. I'm on sabbatical!
Hey what are you guys looking at?,Ross and the most beautiful girl in the world.
"Remember when sometimes he'd borrow your hat, and, and when you got it back there'd be little monkey raisins in it.","Yeah, well sure, when he did it, it was funny. When I did it to my boss's hat. . . all of the sudden I have this big attitude problem."
What's wrong with the foosball table?,"See? Now, that's why only the little fake men are supposed to do all the kicking."
"Ross, listen can you come to a charity event tonight?","Oh, so you're already doing your part for the kids."
"I just-I thought you guys were doing it, I didn't know you were in love!",And hats off to Phoebe. Quite a competitor. And might I say your breasts are still showing.
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 others you've called your soulmate will be thrilled to hear that."
You're dead inside!!,"No! Look, I don't cry! It's not a big deal! Okay?!"
Oh my God. Oh my God! And you're-you're...you're not freaking out?,Well I was! Then I went down to the gift shop because I was out of cigarettes...
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom?"
"I'm just visiting my good friend Carol, what's her last name?",Carol...Lesbian?
I've decided to start a garden in my backyard.,"Oh, great, because what you really needed was a hobby that combines dirt, disappointment, and the occasional gopher."
I just got engaged to my perfect match.,"Oh, wow. I'm sure the 37 online quizzes you took had nothing to do with it."
"Come on, this isn't funny. She thinks it's my fault that you haven't called her. You have to call her!","Look, you can't call somebody after this long just to say, 'In case you didn't notice, I don't like you!'"
I just got engaged to my soulmate.,"Oh, wonderful! Because nothing says 'soulmate' like someone who's willing to tolerate you for the rest of their life."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other women you've called your soulmate will be thrilled to hear that."
"Okay, y'know what? There's only one way I'm leaving this hotel room.","I wanna get out of the room! Y'know, I...I really miss downstairs."
Did you pack that bathing suit?,"It was pretty funny when I, when I hid it for a while, huh? Anyway, umm, I-I am worried about that bathing suit, not because it's revealing which I'm fine with, no I'm concerned about your health, sun exposure."
"You need to bribe the Maitre d' to get a table faster, how do you do it?",Had the money in the wrong hand.
"Ah-ah-ah, you know what that is?",Your last roommate's kidney?
I'm telling you. I'm telling you. That's what it is. No wonder she was looking at me all funny during the wedding. She didn't say anything to you?,Maybe it's something you ate?
"Now, y'see, most people, when their pets pass on, they want 'em sorta laid out like they're sleeping. But occasionally you get your person who wants them in a pose. Like, chasing their tail, or, uh, jumping to catch a frisbee.","Joey, if I go first, I wanna be looking for my keys."
No! No Joey! U-N-I-sex.,"Well, I ain't gonna say no to that."
I just got engaged to the love of my life.,"Wow, that's great. I'm sure the 37 arguments you've had this week are just a minor detail."
What?,"It's like, you got so many lines to learn so fast, that sometimes you need a minute to remember your next one. So while you're thinkin' of it, you take this big pause where you look all intense, you know, like this."
I'm considering a career change to professional snail trainer.,"Oh, finally, a field where your lack of speed and motivation will be assets."
You called me fat when we spent Thanksgiving together.,"Okay. Okay, now wait a minute that was totally different."
What's with the getup?,"Well, I see you've had a very productive day. Don't you think the cowboy hat is a little much?"
I've decided to start a journal to express my feelings.,"Oh, great, because the world was just missing your thoughts in illegible handwriting."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
Y'know what I think? I think somebody's got a little crush on Casey. How 'bout I fix you two up? What do you think?,That all the pieces of my life are falling right into place!
"So, I guess this is over.","Well, y'know, you and me, it had to end sometime."
I was just trying to bring a little culture to the group.,"That's fine, just don't bring it in my mouth."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
I just got engaged to my girlfriend.,"Oh, great, so now you're officially contractual obligated to love someone who's still getting used to your face."
Hey that's what all my relationships are like.,"Yes, but in Ross's case, they both know in two weeks that's it."
"Yeah, I was going for the metaphor.","Yes, and I was saying the actual words."
"We're talking about whipped fish, Monica.","I'm just happy I'm keeping it down, y'know?"
"Sweetie, you know I have no sense of humor when it comes to the wedding.","Right. So uh, have you written yours yet?"
Girls don't like it when you correct their grammar.,And they don't like it when you explain why your jokes are funny.
Our friendship is effectively ruined.,"Eh, we weren't that close anyway!"
"She wants me to take responsibility for everything that went wrong in our relationship. I mean she goes on for five pages about, about how I was unfaithful to her! WE WERE ON A BREAK!!!!!","Oh my God! If you say that one more time, I'm gonna break up with you!"
Monica's wasted.,Maybe that will liven up this party.
Ross should open his lecture with a joke.,Why don't you open with a joke?
I just got engaged to my girlfriend.,"Oh, wow. Because nothing says 'I love you' like a legally binding contract and a ring that's just a fancy excuse to never have to make another decision again."
This is the New York Times.,"Okay, may I see the comics?"
You're not gettin' it.,Oh thanks! I like your top.
They're putting together this panel to talk about these fossils they just found in Peru and The Discovery Channel's gonna film it!,Oh my God! Who's gonna watch that?!
Do you really think the best reason to get married is because you're sorry?,"No, the best reason to get married is pregnancy. Sorry is pretty much fourth y'know, behind being ready and actually wanting to get married."
I caught him molesting himself.,He was getting off to a shark attack show!
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any happier for you?"
"Yes, Joey has a very careful screening process.","Apparently, not everyone is qualified to own wood and nails."
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll never have to use Tinder again."
"Ross Geller: Well I-I-I, that kind of thing requires some serious thought. First, I'll divide my perspective canidates into catergories....",What a geek!
You can be the best man when I get married.,"I'm not even getting married! Okay, this is a question for science fiction writers!"
You're spending Christmas with her?,"Well, second prettiest that year; I mean, of all the girls in Oklahoma, she's probably..."
A massage client gave me three tickets to the Helmet-Pelts exhibit at the Morgan Chase museum.,I'll give up my ticket.
"If you ever hurt my little sister, if you ever cause her any unhappiness of any kind, I will hunt you down, and kick your ass!","Hey, I hear what your saying, okay? And, thanks for the warning."
No one's eating my Tuscan finger food 'cause they're all filling up on Phoebe's snow cones!,There are snow cones! Snow cones! Yuck!
"I don't know. It's-it's just...lately, I've been feeling... Okay, here's what it is... You know what? I feel a lot better, thanks!","Oh no-no, no you don't, just come back."
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
Why would I ever want to take away from your night?,Why to save your dignity my man.
"Phoebe Buffay: This is my father, this is a picture of my dad.","Nah, Phoebs, that's the guy that comes in the frame."
"Monica Geller: Alright, I've got a leg, three breasts and a wing.","Well, how do you find clothes that fit?"
"Yeah, we're gonna go.","Yeah, it's a very large plane."
Ross is trying to hit on the woman,Smooth.
Don't say things like that in front of Monica. I don't want you putting any ideas in her head.,Wh-wh-why?!
"Listen, I am this close to robbing you guys.","Oh actually, I'd rather you...Yeah, go ahead. We're gonna have to burn that room down anyway."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other women you've called your soulmate will be thrilled to hear that."
"Is this the video of the baby being born? Sweetie, this is Phoebe's. Why were you even watching it?",I thought...maybe...you got me porn for Valentine's Day.
"Janice Litman Goralnik: So, do we have the best friends or what?",Joey's not a friend. He's...a stupid man who left us his credit card. Another drink? Some dessert? A big screen TV?
You ate my sandwich?,Oh-oh really?
"One more time, ""Hey, don't you want a washboard stomach and rock hard pecs?""",No! I want a flabby gut and saggy man breasts!
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom?"
"Joey Tribbiani: Cause she uh, she steals stuff.",Or maybe she doesn't steal stuff and Joey just slept with her and never called her back.
You wanted to talk to me?,"I don't know. You uh, you got something for me?"
Yeah? You don't think it's just pathetic?,Oh! Pathetic!
I'm a little embarrassed about it.,"So you understand, I'd feel a lot more comfortable if you didn't tell people what happened."
What's that?,"Oh, that's my arm!"
"Just admit it Chandler, you have no backhand.","Excuse me little one, I have a very solid backhand."
